,OrderDate,ShippedDate,CustomerCountry,CustomerCity,CustomerRegion,ProductName,UnitPrice,Quantity,Discount,CategoryName,SupplierCountry,SupplierRegion,TotalPrice
107,2016-08-23,2016-09-03,Italy,Reggio Emilia,Southern Europe,Tourtière,5.9,10,0.1,Meat/Poultry,Canada,North America,53.1
108,2016-08-23,2016-09-03,Italy,Reggio Emilia,Southern Europe,Scottish Longbreads,10.0,3,0.1,Confections,UK,British Isles,27.0
109,2016-08-26,2016-08-28,UK,London,British Isles,Aniseed Syrup,8.0,30,0.0,Condiments,UK,British Isles,240.0
110,2016-08-26,2016-08-28,UK,London,British Isles,Wimmers gute Semmelknödel,26.6,9,0.0,Grains/Cereals,Germany,Western Europe,239.4
111,2016-08-27,2016-09-03,Brazil,Sao Paulo,South America,Chef Anton's Gumbo Mix,17.0,20,0.0,Condiments,USA,North America,340.0
112,2016-08-27,2016-09-03,Brazil,Sao Paulo,South America,Thüringer Rostbratwurst,99.0,15,0.0,Meat/Poultry,Germany,Western Europe,1485.0
113,2016-08-27,2016-09-03,Brazil,Sao Paulo,South America,Maxilaku,16.0,15,0.0,Confections,Finland,Scandinavia,240.0
114,2016-08-27,2016-09-03,Brazil,Sao Paulo,South America,Original Frankfurter grüne Soße,10.4,10,0.0,Condiments,Germany,Western Europe,104.0
115,2016-08-27,2016-09-04,Brazil,Rio de Janeiro,South America,Konbu,4.8,20,0.1,Seafood,Japan,Eastern Asia,86.4
116,2016-08-27,2016-09-04,Brazil,Rio de Janeiro,South America,Gula Malacca,15.5,24,0.1,Condiments,Singapore,South-East Asia,334.8
117,2016-08-27,2016-09-04,Brazil,Rio de Janeiro,South America,Manjimup Dried Apples,42.4,2,0.1,Produce,Australia,NSW,76.32
118,2016-08-28,2016-09-02,Brazil,Sao Paulo,South America,Sir Rodney's Marmalade,64.8,20,0.0,Confections,UK,British Isles,1296.0
119,2016-08-29,2016-09-11,Mexico,México D.F.,Central America,Carnarvon Tigers,50.0,12,0.0,Seafood,Australia,Victoria,600.0
120,2016-08-29,2016-09-11,Mexico,México D.F.,Central America,Guaraná Fantástica,3.6,10,0.0,Beverages,Brazil,South America,36.0
121,2016-08-29,2016-09-11,Mexico,México D.F.,Central America,Vegie-spread,35.1,5,0.0,Condiments,Australia,Victoria,175.5
122,2016-08-29,2016-09-11,Mexico,México D.F.,Central America,Rhönbräu Klosterbier,6.2,6,0.0,Beverages,Germany,Western Europe,37.2
123,2016-08-30,2016-09-05,USA,Albuquerque,North America,Chai,14.4,18,0.0,Beverages,UK,British Isles,259.2
124,2016-08-30,2016-09-05,USA,Albuquerque,North America,Alice Mutton,31.2,15,0.0,Meat/Poultry,Australia,Victoria,468.0
125,2016-08-30,2016-09-05,USA,Albuquerque,North America,Ipoh Coffee,36.8,15,0.0,Beverages,Singapore,South-East Asia,552.0
126,2016-08-30,2016-09-05,USA,Albuquerque,North America,Camembert Pierrot,27.2,21,0.0,Dairy Products,France,Western Europe,571.1999999999999
127,2016-08-30,2016-09-05,USA,Albuquerque,North America,Rhönbräu Klosterbier,6.2,6,0.0,Beverages,Germany,Western Europe,37.2
128,2016-09-02,2016-09-10,France,Reims,Western Europe,Gnocchi di nonna Alice,30.4,4,0.0,Grains/Cereals,Italy,Southern Europe,121.6
129,2016-09-03,2016-09-11,Venezuela,Barquisimeto,South America,Queso Cabrales,16.8,12,0.0,Dairy Products,Spain,Southern Europe,201.60000000000002
130,2016-09-03,2016-09-11,Venezuela,Barquisimeto,South America,Pavlova,13.9,30,0.0,Confections,Australia,Victoria,417.0
131,2016-09-03,2016-09-11,Venezuela,Barquisimeto,South America,Gudbrandsdalsost,28.8,15,0.0,Dairy Products,Norway,Scandinavia,432.0
132,2016-09-04,2016-09-10,France,Strasbourg,Western Europe,Chartreuse verte,14.4,60,0.0,Beverages,France,Western Europe,864.0
133,2016-09-04,2016-09-10,France,Strasbourg,Western Europe,Mozzarella di Giovanni,27.8,20,0.0,Dairy Products,Italy,Southern Europe,556.0
134,2016-09-05,2016-09-11,Ireland,Cork,British Isles,Chang,15.2,40,0.0,Beverages,UK,British Isles,608.0
135,2016-09-05,2016-09-11,Ireland,Cork,British Isles,Inlagd Sill,15.2,40,0.25,Seafood,Sweden,Northern Europe,456.0
136,2016-09-05,2016-09-11,Ireland,Cork,British Isles,Raclette Courdavault,44.0,30,0.25,Dairy Products,France,Western Europe,990.0
137,2016-09-05,2016-09-11,Ireland,Cork,British Isles,Tarte au sucre,39.4,15,0.0,Confections,Canada,North America,591.0
138,2016-09-06,2016-09-13,Brazil,Rio de Janeiro,South America,Teatime Chocolate Biscuits,7.3,15,0.0,Confections,UK,British Isles,109.5
139,2016-09-06,2016-09-13,Brazil,Rio de Janeiro,South America,Outback Lager,12.0,20,0.0,Beverages,Australia,Victoria,240.0
140,2016-09-09,2016-09-18,Italy,Bergamo,Southern Europe,Louisiana Hot Spiced Okra,13.6,30,0.0,Condiments,USA,North America,408.0
141,2016-09-09,2016-09-18,Italy,Bergamo,Southern Europe,Scottish Longbreads,10.0,20,0.0,Confections,UK,British Isles,200.0
142,2016-09-09,2016-09-17,Germany,Stuttgart,Western Europe,Boston Crab Meat,14.7,10,0.0,Seafood,USA,North America,147.0
143,2016-09-09,2016-09-17,Germany,Stuttgart,Western Europe,Gnocchi di nonna Alice,30.4,20,0.0,Grains/Cereals,Italy,Southern Europe,608.0
144,2016-09-10,2016-10-09,Belgium,Charleroi,Western Europe,Alice Mutton,31.2,40,0.0,Meat/Poultry,Australia,Victoria,1248.0
145,2016-09-10,2016-10-09,Belgium,Charleroi,Western Europe,Rössle Sauerkraut,36.4,28,0.0,Produce,Germany,Western Europe,1019.1999999999999
146,2016-09-10,2016-10-09,Belgium,Charleroi,Western Europe,Ipoh Coffee,36.8,12,0.0,Beverages,Singapore,South-East Asia,441.59999999999997
147,2016-09-11,2016-09-18,Spain,Sevilla,Southern Europe,Boston Crab Meat,14.7,40,0.1,Seafood,USA,North America,529.2
148,2016-09-11,2016-09-18,Spain,Sevilla,Southern Europe,Louisiana Fiery Hot Pepper Sauce,16.8,30,0.1,Condiments,USA,North America,453.6
149,2016-09-11,2016-09-18,Spain,Sevilla,Southern Europe,Scottish Longbreads,10.0,15,0.1,Confections,UK,British Isles,135.0
150,2016-09-12,2016-09-17,Mexico,México D.F.,Central America,Maxilaku,16.0,30,0.0,Confections,Finland,Scandinavia,480.0
151,2016-09-12,2016-09-17,Mexico,México D.F.,Central America,Raclette Courdavault,44.0,10,0.0,Dairy Products,France,Western Europe,440.0
152,2016-09-12,2016-09-17,Mexico,México D.F.,Central America,Flotemysost,17.2,2,0.0,Dairy Products,Norway,Scandinavia,34.4
153,2016-09-13,2016-10-09,USA,Anchorage,North America,Carnarvon Tigers,50.0,25,0.1,Seafood,Australia,Victoria,1125.0
154,2016-09-13,2016-10-09,USA,Anchorage,North America,Thüringer Rostbratwurst,99.0,25,0.1,Meat/Poultry,Germany,Western Europe,2227.5
155,2016-09-13,2016-10-09,USA,Anchorage,North America,Chartreuse verte,14.4,30,0.1,Beverages,France,Western Europe,388.8
156,2016-09-16,2016-09-23,Spain,Madrid,Southern Europe,Nord-Ost Matjeshering,20.7,10,0.0,Seafood,Germany,Western Europe,207.0
157,2016-09-16,2016-09-23,Spain,Madrid,Southern Europe,Perth Pasties,26.2,10,0.0,Meat/Poultry,Australia,NSW,262.0
158,2016-09-16,2016-09-23,Spain,Madrid,Southern Europe,Tourtière,5.9,5,0.0,Meat/Poultry,Canada,North America,29.5
159,2016-09-17,2016-09-25,USA,Portland,North America,Tarte au sucre,39.4,10,0.0,Confections,Canada,North America,394.0
160,2016-09-17,2016-09-25,USA,Portland,North America,Scottish Longbreads,10.0,3,0.0,Confections,UK,British Isles,30.0
161,2016-09-18,2016-09-24,Mexico,México D.F.,Central America,Gudbrandsdalsost,28.8,1,0.0,Dairy Products,Norway,Scandinavia,28.8
162,2016-09-18,2016-09-24,Mexico,México D.F.,Central America,Outback Lager,12.0,5,0.0,Beverages,Australia,Victoria,60.0
163,2016-09-19,2016-10-23,Ireland,Cork,British Isles,Chef Anton's Cajun Seasoning,17.6,20,0.0,Condiments,USA,North America,352.0
164,2016-09-19,2016-10-23,Ireland,Cork,British Isles,Grandma's Boysenberry Spread,20.0,30,0.0,Condiments,USA,North America,600.0
165,2016-09-19,2016-10-23,Ireland,Cork,British Isles,Singaporean Hokkien Fried Mee,11.2,2,0.0,Grains/Cereals,Singapore,South-East Asia,22.4
166,2016-09-19,2016-10-23,Ireland,Cork,British Isles,Ipoh Coffee,36.8,20,0.0,Beverages,Singapore,South-East Asia,736.0
167,2016-09-19,2016-10-23,Ireland,Cork,British Isles,Flotemysost,17.2,3,0.0,Dairy Products,Norway,Scandinavia,51.599999999999994
168,2016-09-20,2016-09-27,USA,Portland,North America,Pavlova,13.9,10,0.0,Confections,Australia,Victoria,139.0
169,2016-09-20,2016-09-27,USA,Portland,North America,Tarte au sucre,39.4,5,0.0,Confections,Canada,North America,197.0
170,2016-09-20,2016-09-26,France,Nantes,Western Europe,Singaporean Hokkien Fried Mee,11.2,6,0.0,Grains/Cereals,Singapore,South-East Asia,67.19999999999999
171,2016-09-20,2016-09-26,France,Nantes,Western Europe,Gudbrandsdalsost,28.8,7,0.0,Dairy Products,Norway,Scandinavia,201.6
172,2016-09-23,2016-10-03,Germany,Stuttgart,Western Europe,Rössle Sauerkraut,36.4,4,0.0,Produce,Germany,Western Europe,145.6
173,2016-09-23,2016-10-03,Germany,Stuttgart,Western Europe,Ipoh Coffee,36.8,24,0.0,Beverages,Singapore,South-East Asia,883.1999999999999
174,2016-09-23,2016-10-03,Germany,Stuttgart,Western Europe,Perth Pasties,26.2,20,0.0,Meat/Poultry,Australia,NSW,524.0
175,2016-09-23,2016-10-03,Germany,Stuttgart,Western Europe,Rhönbräu Klosterbier,6.2,10,0.0,Beverages,Germany,Western Europe,62.0
176,2016-09-24,2016-10-04,Germany,Cunewalde,Western Europe,Inlagd Sill,15.2,12,0.0,Seafood,Sweden,Northern Europe,182.39999999999998
177,2016-09-25,2016-10-04,USA,Albuquerque,North America,Mascarpone Fabioli,25.6,40,0.1,Dairy Products,Italy,Southern Europe,921.6
178,2016-09-25,2016-10-04,USA,Albuquerque,North America,Escargots de Bourgogne,10.6,30,0.1,Seafood,France,Western Europe,286.2
179,2016-09-25,2016-10-04,USA,Albuquerque,North America,Tarte au sucre,39.4,25,0.1,Confections,Canada,North America,886.5
180,2016-09-26,2016-10-03,UK,Cowes,British Isles,Sasquatch Ale,11.2,14,0.0,Beverages,USA,North America,156.79999999999998
181,2016-09-26,2016-10-03,UK,Cowes,British Isles,Outback Lager,12.0,30,0.0,Beverages,Australia,Victoria,360.0
182,2016-09-27,2016-10-08,USA,Albuquerque,North America,Jack's New England Clam Chowder,7.7,10,0.0,Seafood,USA,North America,77.0
183,2016-09-27,2016-10-08,USA,Albuquerque,North America,Tarte au sucre,39.4,70,0.0,Confections,Canada,North America,2758.0
184,2016-09-30,2016-10-10,USA,Portland,North America,Chai,14.4,20,0.0,Beverages,UK,British Isles,288.0
185,2016-10-01,2016-10-04,UK,Cowes,British Isles,Jack's New England Clam Chowder,7.7,20,0.0,Seafood,USA,North America,154.0
186,2016-10-01,2016-10-04,UK,Cowes,British Isles,Lakkalikööri,14.4,6,0.0,Beverages,Finland,Scandinavia,86.4
187,2016-10-02,2016-10-11,Mexico,México D.F.,Central America,Alice Mutton,31.2,8,0.0,Meat/Poultry,Australia,Victoria,249.6
188,2016-10-02,2016-10-11,Mexico,México D.F.,Central America,Rössle Sauerkraut,36.4,14,0.0,Produce,Germany,Western Europe,509.59999999999997
189,2016-10-02,2016-10-11,Mexico,México D.F.,Central America,Lakkalikööri,14.4,30,0.0,Beverages,Finland,Scandinavia,432.0
190,2016-10-03,2016-10-18,Finland,Oulu,Scandinavia,Flotemysost,17.2,30,0.0,Dairy Products,Norway,Scandinavia,516.0
191,2016-10-03,2016-10-11,UK,Cowes,British Isles,Steeleye Stout,14.4,10,0.0,Beverages,USA,North America,144.0
192,2016-10-04,2016-10-23,Mexico,México D.F.,Central America,Filo Mix,5.6,20,0.0,Grains/Cereals,Australia,NSW,112.0
193,2016-10-07,2016-10-14,Germany,Brandenburg,Western Europe,Genen Shouyu,12.4,5,0.0,Condiments,Japan,Eastern Asia,62.0
194,2016-10-07,2016-10-14,Germany,Brandenburg,Western Europe,NuNuCa Nuß-Nougat-Creme,11.2,4,0.0,Confections,Germany,Western Europe,44.8
