,number,value,datetime_start,datetime_complete,duration,params_affinity,params_agglo_metric,params_agglo_n,params_alpha,params_assign_lables,params_clusterer,params_coef0,params_degree,params_eigen_solver,params_epsilon,params_hdbscan_algo,params_hdbscan_leaf_size,params_hdbscan_method,params_hdbscan_metric,params_hdbscan_n,params_kmeans_algo,params_kmeans_init,params_kmeans_n,params_kmeans_n_init,params_kmeans_tol,params_linkage,params_max_eps,params_min_dist,params_min_samples,params_n_oversamples,params_normalizer,params_optics_algo,params_optics_leaf_size,params_optics_method,params_optics_metric,params_optics_n,params_p,params_pca_n,params_pca_tol,params_perplexity,params_reducer,params_solver,params_spec_cluster,params_spec_gamma,params_spec_n,params_spec_n_init,params_spec_n_neighbors,params_tightness,params_tsne_init,params_tsne_lr,params_tsne_method,params_tsne_metric,params_tsne_n,params_umap_metric,params_umap_n,params_umap_n_neighbors,params_whiten,params_xi,state
10,10,-1.0,2024-05-01 05:25:55.262960,2024-05-01 05:25:55.652203,0 days 00:00:00.389243,,,,6.1,,HDBSCAN,,,,3.1,auto,55.0,leaf,rogerstanimoto,502.0,,,,,,,,,24.0,13.0,QR,,,,,,,19.0,9.537988280309335,,PCA,arpack,,,,,,,,,,,,,,,False,,COMPLETE
11,11,0.5194599787976101,2024-05-01 05:25:55.652902,2024-05-01 05:25:55.870801,0 days 00:00:00.217899,,,,,,KMeans,,,,,,,,,,lloyd,k-means++,17.0,,1e-05,,,,,7.0,auto,,,,,,,12.0,4.840438993157801,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
12,12,-0.4622989111124926,2024-05-01 05:25:55.871878,2024-05-01 05:25:56.210378,0 days 00:00:00.338500,,,,0.6,,HDBSCAN,,,,9.1,brute,100.0,eom,dice,2.0,,,,,,,,,176.0,1.0,auto,,,,,,,2.0,6.452054119499983,,PCA,arpack,,,,,,,,,,,,,,,False,,COMPLETE
13,13,-1.0,2024-05-01 05:25:56.211456,2024-05-01 05:25:56.553613,0 days 00:00:00.342157,nearest_neighbors,,,,cluster_qr,Spectral,97.24013387923388,5.0,amg,,,,,,,,,,,,,,,,10.0,LU,,,,,,,12.0,2.903604560354889,,PCA,full,3.0,9.6,2.0,20.0,492.0,,,,,,,,,,False,,COMPLETE
14,14,0.68704216691069,2024-05-01 05:25:56.554157,2024-05-01 05:25:56.757446,0 days 00:00:00.203289,,l1,8.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,8.0,auto,,,,,,,9.0,4.745662184135486,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
15,15,0.5540648102760315,2024-05-01 05:25:56.758120,2024-05-01 05:26:04.727548,0 days 00:00:07.969428,,l1,9.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,0.0,,,,,,,,,,,,,UMAP,,,,,,,,,,,,,sokalsneath,2.0,37.0,,,COMPLETE
16,16,0.7832446663795519,2024-05-01 05:26:04.728480,2024-05-01 05:26:05.011040,0 days 00:00:00.282560,,l1,6.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,11.0,QR,,,,,,,7.0,7.512124251823845,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
17,17,0.3583700563536176,2024-05-01 05:26:05.011988,2024-05-01 05:26:05.277727,0 days 00:00:00.265739,,,4.0,,,Agglomerative,,,,,,,,,,,,,,,ward,,,,12.0,QR,,,,,,,4.0,8.123273384297665,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE
18,18,0.5235700011253357,2024-05-01 05:26:05.278639,2024-05-01 05:26:09.082588,0 days 00:00:03.803949,,l1,6.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,,,,,,,,,,,5.002060053738639,t-SNE,,,,,,,5.3309929417579855,pca,100.0,barnes_hut,euclidean,1.0,,,,,,COMPLETE
19,19,0.40797334909439087,2024-05-01 05:26:09.083111,2024-05-01 05:28:07.827057,0 days 00:01:58.743946,,cosine,16.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,0.95,,,,,,,,,,,,,UMAP,,,,,,,,,,,,,minkowski,5.0,192.0,,,COMPLETE
20,20,-1.0,2024-05-01 05:28:07.827765,2024-05-01 05:28:09.658370,0 days 00:00:01.830605,,,,,,OPTICS,,,,,,,,,,,,,,,,10.0,,,15.0,QR,brute,100.0,xi,jaccard,467.0,,7.0,8.45896256112409,,PCA,randomized,,,,,,,,,,,,,,,False,0.05,COMPLETE
21,21,0.7223737012586234,2024-05-01 05:28:09.658907,2024-05-01 05:28:09.902173,0 days 00:00:00.243266,,l1,8.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,20.0,none,,,,,,,10.0,5.675320524909365,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
22,22,0.7204576613818711,2024-05-01 05:28:09.902880,2024-05-01 05:28:10.155314,0 days 00:00:00.252434,,l1,7.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,19.0,none,,,,,,,9.0,4.755146291685805,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
23,23,0.7579801461168538,2024-05-01 05:28:10.156276,2024-05-01 05:28:10.366251,0 days 00:00:00.209975,,l1,6.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,20.0,none,,,,,,,5.0,7.53007960536066,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
24,24,-1.0,2024-05-01 05:28:10.367172,2024-05-01 05:28:10.470449,0 days 00:00:00.103277,precomputed,,,,kmeans,Spectral,5.421893696649526,2.0,lobpcg,,,,,,,,,,,,,,,,20.0,none,,,,,,,5.0,7.649838599775652,,PCA,randomized,20.0,6.6,5.0,16.0,17.0,,,,,,,,,,False,,COMPLETE
25,25,-1.0,2024-05-01 05:28:10.471204,2024-05-01 05:28:10.589069,0 days 00:00:00.117865,,,,8.5,,HDBSCAN,,,,0.30000000000000004,kd_tree,10.0,eom,yule,267.0,,,,,,,,,200.0,17.0,none,,,,,,,5.0,9.322899638440008,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
26,26,0.5500593202086754,2024-05-01 05:28:10.589759,2024-05-01 05:28:10.902252,0 days 00:00:00.312493,,,5.0,,,Agglomerative,,,,,,,,,,,,,,,ward,,,,18.0,none,,,,,,,2.0,7.325484890301863,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE
27,27,0.9514996439689731,2024-05-01 05:28:10.903515,2024-05-01 05:28:11.192612,0 days 00:00:00.289097,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,15.0,QR,,,,,,,14.0,5.813263436125047,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
28,28,0.035042908042669296,2024-05-01 05:28:11.193307,2024-05-01 05:32:22.603037,0 days 00:04:11.409730,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,,,,,,,,,,,48.02203165540874,t-SNE,,,,,,,12.093728733765534,pca,100.0,exact,correlation,20.0,,,,,,COMPLETE
29,29,-0.1809537261724472,2024-05-01 05:32:22.603752,2024-05-01 05:32:32.514299,0 days 00:00:09.910547,,l2,13.0,,,Agglomerative,,,,,,,,,,,,,,,single,,0.0,,,,,,,,,,,,,UMAP,,,,,,,,,,,,,chebyshev,10.0,262.0,,,COMPLETE
30,30,0.562414288520813,2024-05-01 05:32:32.514958,2024-05-01 05:32:38.100566,0 days 00:00:05.585608,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,,,,,,,,,,,31.831385139195483,t-SNE,,,,,,,19.655380595526314,pca,65.0,barnes_hut,dice,1.0,,,,,,COMPLETE
31,31,0.908694189452492,2024-05-01 05:32:38.101105,2024-05-01 05:32:38.369716,0 days 00:00:00.268611,,l1,6.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,15.0,QR,,,,,,,14.0,5.792019128313546,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
32,32,0.9090726012465927,2024-05-01 05:32:38.370682,2024-05-01 05:32:38.618906,0 days 00:00:00.248224,,l1,5.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,15.0,QR,,,,,,,15.0,7.054640696663859,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
33,33,0.2916308415100088,2024-05-01 05:32:38.619620,2024-05-01 05:43:06.550298,0 days 00:10:27.930678,rbf,,,,kmeans,Spectral,77.83823770155536,4.0,arpack,,,,,,,,,,,,,,,,15.0,QR,,,,,,,15.0,5.687121257921223,,PCA,randomized,5.0,0.6,20.0,1.0,457.0,,,,,,,,,,False,,COMPLETE
34,34,0.9098959784708175,2024-05-01 05:43:06.551053,2024-05-01 05:43:06.764727,0 days 00:00:00.213674,,l1,4.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,14.0,QR,,,,,,,16.0,6.843654736492377,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
35,35,-0.33685205553524933,2024-05-01 05:43:06.765650,2024-05-01 05:43:06.987271,0 days 00:00:00.221621,,cosine,4.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,14.0,QR,,,,,,,15.0,6.522770981043424,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
36,36,-1.0,2024-05-01 05:43:06.988175,2024-05-01 05:43:07.143682,0 days 00:00:00.155507,,,,,,OPTICS,,,,,,,,,,,,,,,,1.0,,,16.0,QR,ball_tree,10.0,dbscan,sqeuclidean,12.0,,17.0,4.126994727664924,,PCA,randomized,,,,,,,,,,,,,,,False,0.0,COMPLETE
37,37,0.9098962457454386,2024-05-01 05:43:07.144349,2024-05-01 05:43:07.420802,0 days 00:00:00.276453,,manhattan,4.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,13.0,QR,,,,,,,14.0,5.517505418366133,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
38,38,-1.0,2024-05-01 05:43:07.421494,2024-05-01 05:44:06.578519,0 days 00:00:59.157025,,,,,,KMeans,,,,,,,,,,lloyd,random,2.0,20.0,0.01,,,,,,,,,,,,,,,35.598403076628934,t-SNE,,,,,,,5.875436489226852,pca,15.0,exact,mahalanobis,13.0,,,,,,COMPLETE
39,39,-1.0,2024-05-01 05:44:06.579031,2024-05-01 05:44:07.003635,0 days 00:00:00.424604,,,,0.4,,HDBSCAN,,,,10.0,ball_tree,100.0,leaf,sokalsneath,7.0,,,,,,,,,4.0,13.0,QR,,,,,,,17.0,8.658026600358236,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE
40,40,-1.0,2024-05-01 05:44:07.004157,2024-05-01 05:44:17.939127,0 days 00:00:10.934970,,,,,,OPTICS,,,,,,,,,,,,,,,,inf,0.35000000000000003,,,,ball_tree,50.0,xi,cosine,502.0,,,,,UMAP,,,,,,,,,,,,,canberra,11.0,317.0,,0.45,COMPLETE
41,41,0.9098962456949157,2024-05-01 05:44:17.939709,2024-05-01 05:44:18.143749,0 days 00:00:00.204040,,manhattan,4.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,14.0,QR,,,,,,,14.0,5.726903313822999,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
42,42,0.9098963906292362,2024-05-01 05:44:18.144745,2024-05-01 05:44:18.399919,0 days 00:00:00.255174,,manhattan,4.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,13.0,QR,,,,,,,13.0,6.887012095632648,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
43,43,0.9514997127014082,2024-05-01 05:44:18.400797,2024-05-01 05:44:18.641338,0 days 00:00:00.240541,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,10.0,QR,,,,,,,13.0,5.37237018296857,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
44,44,0.9514997127014082,2024-05-01 05:44:18.641999,2024-05-01 05:44:18.883919,0 days 00:00:00.241920,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,10.0,QR,,,,,,,13.0,5.171999916861665,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
45,45,0.9514997902724684,2024-05-01 05:44:18.884823,2024-05-01 05:44:19.115829,0 days 00:00:00.231006,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,9.0,QR,,,,,,,12.0,2.6575964898459055,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
46,46,0.18626100644043303,2024-05-01 05:44:19.116803,2024-05-01 05:44:19.343024,0 days 00:00:00.226221,,,,,,KMeans,,,,,,,,,,lloyd,random,9.0,10.0,0.001,,,,,9.0,QR,,,,,,,13.0,2.5913927685264064,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE
47,47,-0.21522796889938106,2024-05-01 05:44:19.343994,2024-05-01 05:44:21.297349,0 days 00:00:01.953355,rbf,,,,cluster_qr,Spectral,51.575521775080915,3.0,lobpcg,,,,,,,,,,,,,,,,5.0,QR,,,,,,,13.0,0.7473878064636432,,PCA,randomized,10.0,4.6,11.0,10.0,2.0,,,,,,,,,,False,,COMPLETE
48,48,0.9514997901273017,2024-05-01 05:44:21.298369,2024-05-01 05:44:21.548695,0 days 00:00:00.250326,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,11.0,QR,,,,,,,12.0,1.8798950707998932,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
49,49,0.7628112826065911,2024-05-01 05:44:21.549613,2024-05-01 05:44:21.798590,0 days 00:00:00.248977,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,10.0,LU,,,,,,,11.0,1.185879929926253,,PCA,full,,,,,,,,,,,,,,,True,,COMPLETE
50,50,-1.0,2024-05-01 05:44:21.799566,2024-05-01 05:44:28.848688,0 days 00:00:07.049122,,,,9.700000000000001,,HDBSCAN,,,,5.800000000000001,ball_tree,20.0,leaf,correlation,492.0,,,,,,,,0.95,100.0,,,,,,,,,,,,UMAP,,,,,,,,,,,,,hamming,15.0,7.0,,,COMPLETE
51,51,0.9514997901273017,2024-05-01 05:44:28.849300,2024-05-01 05:44:29.112945,0 days 00:00:00.263645,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,11.0,QR,,,,,,,12.0,4.213459588157208,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
52,52,0.9514997901273017,2024-05-01 05:44:29.113608,2024-05-01 05:44:29.368459,0 days 00:00:00.254851,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,11.0,QR,,,,,,,12.0,2.3497392349153112,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
53,53,0.9514997901273017,2024-05-01 05:44:29.369379,2024-05-01 05:44:29.601085,0 days 00:00:00.231706,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,11.0,QR,,,,,,,12.0,2.064426636372603,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
54,54,-0.0803127437155875,2024-05-01 05:44:29.601986,2024-05-01 05:44:29.835969,0 days 00:00:00.233983,,manhattan,20.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,11.0,QR,,,,,,,11.0,1.9554055859492836,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
55,55,0.9277414903252391,2024-05-01 05:44:29.836874,2024-05-01 05:44:30.091256,0 days 00:00:00.254382,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,8.0,QR,,,,,,,12.0,1.9705768687468206,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
56,56,0.35918641090393066,2024-05-01 05:44:30.092185,2024-05-01 05:44:38.771578,0 days 00:00:08.679393,,,,,,KMeans,,,,,,,,,,elkan,k-means++,10.0,,0.0001,,,,,,,,,,,,,,,5.015388153122437,t-SNE,,,,,,,13.470258186249515,random,80.0,barnes_hut,l2,2.0,,,,,,COMPLETE
57,57,0.927741777544507,2024-05-01 05:44:38.772278,2024-05-01 05:44:39.070994,0 days 00:00:00.298716,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,9.0,QR,,,,,,,10.0,3.618631678068261,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
58,58,-1.0,2024-05-01 05:44:39.073518,2024-05-01 05:44:40.763812,0 days 00:00:01.690294,,,,,,OPTICS,,,,,,,,,,,,,,,,1000.0,,,12.0,LU,brute,45.0,dbscan,sokalsneath,337.0,,12.0,2.166132334277057,,PCA,full,,,,,,,,,,,,,,,False,0.4,COMPLETE
59,59,0.927741777544507,2024-05-01 05:44:40.764639,2024-05-01 05:44:40.993484,0 days 00:00:00.228845,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,9.0,auto,,,,,,,10.0,1.53386600156501,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
60,60,0.9408061962520962,2024-05-01 05:44:40.994412,2024-05-01 05:44:41.269775,0 days 00:00:00.275363,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,6.0,QR,,,,,,,11.0,3.158442368986469,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
61,61,0.951499712776765,2024-05-01 05:44:41.270666,2024-05-01 05:44:41.506995,0 days 00:00:00.236329,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,11.0,QR,,,,,,,13.0,0.13282827873754322,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
62,62,0.9277414903252391,2024-05-01 05:44:41.507874,2024-05-01 05:44:41.797237,0 days 00:00:00.289363,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,11.0,QR,,,,,,,12.0,0.18103770086195406,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
63,63,0.9514997901273017,2024-05-01 05:44:41.798123,2024-05-01 05:44:42.030645,0 days 00:00:00.232522,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,12.0,QR,,,,,,,12.0,4.229472654004906,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
64,64,0.9277419567232433,2024-05-01 05:44:42.031575,2024-05-01 05:44:42.292806,0 days 00:00:00.261231,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,12.0,QR,,,,,,,9.0,4.0478514987542695,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
65,65,0.6485654547600547,2024-05-01 05:44:42.293484,2024-05-01 05:44:42.560729,0 days 00:00:00.267245,,,3.0,,,Agglomerative,,,,,,,,,,,,,,,ward,,,,8.0,auto,,,,,,,11.0,2.590703097323291,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
66,66,-1.0,2024-05-01 05:44:42.561406,2024-05-01 05:44:42.760221,0 days 00:00:00.198815,precomputed,,,,discretize,Spectral,58.75878739669386,2.0,amg,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,UMAP,,11.0,4.6,12.0,9.0,277.0,,,,,,,seuclidean,6.0,152.0,,,COMPLETE
67,67,0.9514997907112436,2024-05-01 05:44:42.760744,2024-05-01 05:44:42.983864,0 days 00:00:00.223120,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,11.0,QR,,,,,,,12.0,1.226258014788267,,PCA,arpack,,,,,,,,,,,,,,,False,,COMPLETE
68,68,-1.0,2024-05-01 05:44:42.984835,2024-05-01 05:44:43.053254,0 days 00:00:00.068419,,l2,12.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,,,,,,,,,,,40.67528014203223,t-SNE,,,,,,,9.845062921187665,pca,35.0,exact,haversine,14.0,,,,,,COMPLETE
69,69,-1.0,2024-05-01 05:44:43.053684,2024-05-01 05:44:43.125767,0 days 00:00:00.072083,,,,3.9000000000000004,,HDBSCAN,,,,6.1000000000000005,kd_tree,60.0,eom,canberra,252.0,,,,,,,,,100.0,12.0,QR,,,,,,,10.0,1.4981610070695481,,PCA,arpack,,,,,,,,,,,,,,,False,,COMPLETE
70,70,0.8387452741933421,2024-05-01 05:44:43.127488,2024-05-01 05:44:43.376278,0 days 00:00:00.248790,,manhattan,5.0,,,Agglomerative,,,,,,,,,,,,,,,average,,,,11.0,QR,,,,,,,12.0,0.9314136212585071,,PCA,arpack,,,,,,,,,,,,,,,False,,COMPLETE
71,71,0.9514997901273017,2024-05-01 05:44:43.376955,2024-05-01 05:44:43.641823,0 days 00:00:00.264868,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,11.0,QR,,,,,,,12.0,2.5584966335551393,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
72,72,0.927741491199123,2024-05-01 05:44:43.642710,2024-05-01 05:44:43.909304,0 days 00:00:00.266594,,manhattan,3.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,12.0,QR,,,,,,,12.0,2.4508372194138928,,PCA,arpack,,,,,,,,,,,,,,,False,,COMPLETE
73,73,0.9514998844566972,2024-05-01 05:44:43.910195,2024-05-01 05:44:44.182686,0 days 00:00:00.272491,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,9.0,QR,,,,,,,11.0,3.3716951865100215,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
74,74,0.927741777544507,2024-05-01 05:44:44.183649,2024-05-01 05:44:44.419163,0 days 00:00:00.235514,,euclidean,3.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,9.0,LU,,,,,,,10.0,3.599254646940582,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
75,75,0.8891490861923215,2024-05-01 05:44:44.420103,2024-05-01 05:44:44.708678,0 days 00:00:00.288575,,,2.0,,,Agglomerative,,,,,,,,,,,,,,,ward,,,,7.0,QR,,,,,,,9.0,4.258931154892785,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
76,76,0.6427547603883185,2024-05-01 05:44:44.709586,2024-05-01 05:44:44.921500,0 days 00:00:00.211914,,manhattan,4.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,10.0,QR,,,,,,,11.0,3.009642846681496,,PCA,arpack,,,,,,,,,,,,,,,True,,COMPLETE
77,77,0.9090738781040796,2024-05-01 05:44:44.922360,2024-05-01 05:44:45.148276,0 days 00:00:00.225916,,manhattan,5.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,9.0,QR,,,,,,,8.0,3.5339077354626562,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
78,78,-1.0,2024-05-01 05:44:45.149209,2024-05-01 05:44:46.686502,0 days 00:00:01.537293,,,,,,OPTICS,,,,,,,,,,,,,,,,10000.0,,,8.0,auto,auto,100.0,xi,dice,17.0,,12.0,1.6791545091472961,,PCA,full,,,,,,,,,,,,,,,False,0.65,COMPLETE
79,79,0.45896458625793457,2024-05-01 05:44:46.687033,2024-05-01 05:44:58.981041,0 days 00:00:12.294008,,,,,,KMeans,,,,,,,,,,lloyd,random,13.0,20.0,1e-06,,,0.2,,,,,,,,,,,,,UMAP,,,,,,,,,,,,,correlation,20.0,372.0,,,COMPLETE
80,80,-0.3345488234179447,2024-05-01 05:44:58.982021,2024-05-01 05:44:59.213087,0 days 00:00:00.231066,,cosine,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,13.0,QR,,,,,,,14.0,4.47417176393036,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
81,81,0.9514998844566972,2024-05-01 05:44:59.214024,2024-05-01 05:44:59.468595,0 days 00:00:00.254571,,manhattan,2.0,,,Agglomerative,,,,,,,,,,,,,,,single,,,,11.0,QR,,,,,,,11.0,2.8457044674851297,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
